,,,
,ExxonMobil's global greenhouse gas emissions 2005-2023,,
,Equity-based greenhouse gas emissions from ExxonMobil worldwide from 2005 to 2023 (in million metric tons of carbon dioxide equivalents),,
,,,
,2005,,136
,2006,,139
,2007,,135
,2008,,126
,2009,,123
,2010,,126
,2011,,128
,2012,,126
,2013,,127
,2014,,124
,2015,,122
,2016*,,124
,2017,,121
,2018,,125
,2019,,123
,2020,,115
,2021,,118
,2022,,113
,2023,,111
